iter	Passed	Remaining
329	882	1791
330	884	1787
331	886	1784
332	890	1783
333	892	1779
334	895	1777
335	897	1773
336	900	1771
337	902	1767
338	904	1763
339	907	1761
340	911	1761
341	913	1758
342	916	1755
343	918	1752
344	921	1749
345	923	1746
346	925	1742
347	927	1738
348	929	1734
349	932	1731
350	935	1729
351	937	1726
352	939	1722
353	942	1719
354	943	1714
355	945	1710
356	948	1709
357	951	1706
358	953	1702
359	954	1697
360	956	1693
361	959	1690
362	961	1687
363	966	1687
364	969	1686
365	970	1681
366	973	1679
367	975	1675
368	978	1672
369	980	1670
370	983	1668
371	986	1664
372	988	1661
373	992	1660
374	994	1657
375	997	1655
376	1000	1652
377	1002	1649
378	1005	1647
379	1009	1647
380	1013	1647
381	1015	1642
382	1017	1638
383	1019	1635
384	1022	1633
385	1024	1630
386	1026	1626
387	1029	1623
388	1032	1621
389	1034	1618
390	1036	1614
391	1039	1611
392	1041	1608
393	1043	1604
394	1045	1601
395	1047	1598
396	1050	1595
397	1052	1592
398	1054	1588
399	1057	1585
400	1059	1582
401	1061	1579
402	1064	1576
403	1065	1572
404	1067	1568
405	1069	1564
406	1072	1562
407	1075	1560
408	1077	1557
409	1079	1554
410	1082	1551
411	1084	1548
412	1086	1544
413	1088	1540
414	1091	1538
415	1093	1534
416	1097	1533
417	1099	1530
418	1101	1527
419	1105	1526
420	1107	1523
421	1109	1519
422	1112	1518
423	1115	1515
424	1117	1511
425	1121	1510
426	1123	1507
427	1125	1504
428	1131	1505
429	1134	1503
430	1135	1499
431	1138	1496
432	1140	1493
433	1143	1491
434	1146	1488
435	1148	1486
436	1151	1482
437	1153	1479
438	1155	1476
439	1157	1473
440	1160	1470
441	1162	1467
442	1164	1464
443	1167	1461
444	1169	1458
